t [s]	U''g [cm/s2] 	X'' [cm/s2] 	X' [cm/s]	X [cm]
0.000000	-4.258521	4.258521	0.000000	0.000000
0.002000	-8.517042	8.498996	0.012758	0.000013
0.004000	-12.775563	12.723467	0.033980	0.000059
0.006000	-17.034084	16.929311	0.063633	0.000157
0.008000	-21.292605	21.113921	0.101676	0.000322
0.010000	-25.551126	25.274711	0.148065	0.000572
0.012000	-29.809647	29.409116	0.202748	0.000923
0.014000	-34.068168	33.514595	0.265672	0.001391
0.016000	-38.326689	37.588630	0.336775	0.001994
0.018000	-42.585210	41.628731	0.415993	0.002747
0.020000	-40.464288	39.262003	0.496883	0.003659
0.022000	-38.343366	36.876450	0.573022	0.004729
0.024000	-36.222444	34.473624	0.644372	0.005947
0.026000	-34.101522	32.055084	0.710901	0.007302
0.028000	-31.980600	29.622394	0.772578	0.008786
0.030000	-29.859678	27.177125	0.829378	0.010387
0.032000	-27.738756	24.720850	0.881276	0.012098
0.034000	-25.617834	22.255147	0.928252	0.013908
0.036000	-23.496912	19.781595	0.970288	0.015806
0.038000	-21.375990	17.301773	1.007372	0.017784
0.040000	-20.852136	16.412073	1.041086	0.019832
0.042000	-20.328282	15.514255	1.073012	0.021946
0.044000	-19.804428	14.608903	1.103135	0.024123
0.046000	-19.280574	13.696610	1.131441	0.026357
0.048000	-18.756720	12.777966	1.157915	0.028647
0.050000	-18.232866	11.853568	1.182547	0.030987
0.052000	-17.709012	10.924014	1.205324	0.033375
0.054000	-17.185158	9.989901	1.226238	0.035806
0.056000	-16.661304	9.051832	1.245280	0.038278
0.058000	-16.137450	8.110408	1.262442	0.040786
0.060000	-13.700646	5.255983	1.275809	0.043324
0.062000	-11.263842	2.405406	1.283470	0.045883
0.064000	-8.827038	-0.439534	1.285436	0.048452
0.066000	-6.390234	-3.277056	1.281719	0.051019
0.068000	-3.953430	-6.105390	1.272337	0.053573
0.070000	-1.516626	-8.922775	1.257309	0.056103
0.072000	0.920178	-11.727460	1.236658	0.058597
0.074000	3.356982	-14.517710	1.210413	0.061044
0.076000	5.793786	-17.291799	1.178604	0.063433
0.078000	8.230590	-20.048019	1.141264	0.065753
0.080000	8.668116	-20.788223	1.100428	0.067995
0.082000	9.105642	-21.513456	1.058126	0.070153
0.084000	9.543168	-22.223299	1.014389	0.072226
0.086000	9.980694	-22.917344	0.969249	0.074209
0.088000	10.418220	-23.595190	0.922736	0.076101
0.090000	10.855746	-24.256453	0.874884	0.077899
0.092000	11.293272	-24.900756	0.825727	0.079599
0.094000	11.730798	-25.527736	0.775299	0.081200
0.096000	12.168324	-26.137040	0.723634	0.082699
0.098000	12.605850	-26.728329	0.670769	0.084094
0.100000	11.118654	-25.379271	0.618661	0.085383
0.102000	9.631458	-24.017590	0.569264	0.086571
0.104000	8.144262	-22.644178	0.522602	0.087663
0.106000	6.657066	-21.259930	0.478698	0.088664
0.108000	5.169870	-19.865745	0.437573	0.089581
0.110000	3.682674	-18.462529	0.399244	0.090417
0.112000	2.195478	-17.051190	0.363731	0.091180
0.114000	0.708282	-15.632637	0.331047	0.091875
0.116000	-0.778914	-14.207784	0.301206	0.092507
0.118000	-2.266110	-12.777545	0.274221	0.093083
0.120000	-1.190934	-13.901588	0.247542	0.093605
0.122000	-0.115758	-15.014042	0.218626	0.094071
0.124000	0.959418	-16.114234	0.187498	0.094477
0.126000	2.034594	-17.201500	0.154182	0.094819
0.128000	3.109770	-18.275187	0.118706	0.095091
0.130000	4.184946	-19.334653	0.081096	0.095291
0.132000	5.260122	-20.379264	0.041382	0.095414
0.134000	6.335298	-21.408398	-0.000406	0.095455
0.136000	7.410474	-22.421447	-0.044236	0.095410
0.138000	8.485650	-23.417810	-0.090075	0.095276
